#identifier,nicknames,,,,,,,,
5' UTR,5-UTR,5 UTR,5'UTR,5'-UTR,5' UTR,,,,
orf1ab,pp1ab,polyprotein 1ab,,,,,,,
orf1a,pp1a,polyprotein 1a,,,,,,,
orf1b,pp1b,polyprotein 1b,,,,,,,
nsp1,leader,leader protein,,,,,,,
nsp2,,,,,,,,,
nsp3,,,,,,,,,
nsp4,TM2,transmembrane domain 2,,,,,,,
nsp5a,3C-like proteinase,3CLpro,3CLp,3CL,,,,,
nsp6,TM,transmembrane domain,,,,,,,
nsp7,,,,,,,,,
nsp8,,,,,,,,,
nsp9,ssRNA-binding protein,ssRNAbp,ssRbp,,,,,,
nsp10,CysHis,GFL,,,,,,,
nsp11,,,,,,,,,
nsp12,RdRp,RNA-dependent RNA Polymerase,NiRAN,,,,,,
nsp13,hel,zbd,TB,hel1core,zinc-binding domain,zd,NTPase/helicase domain,5'-triphosphatase,helicase
nsp14A2,ExoN,NMT,exonuclease,3'-to-5' exonuclease,,,,,
nsp15A1,endoRNAse,NendoU,,,,,,,
nsp16,OMT,2'-O-ribose methyltransferase,2-OMT,2'-o-MT,2?-O-ribose MTases,2'-O-ribose MTases,,,
S,spike,surface glycoprotein,orf2,,,,,,
orf3a,,,,,,,,,
E,orf4,envelope protein,envelope,,,,,,
M,orf5,membrane glycoprotein,membrane,,,,,,
orf6,,,,,,,,,
orf7a,,,,,,,,,
orf7b,,,,,,,,,
orf8,,,,,,,,,
N,orf9,nucleocapsid protein,,,,,,,
orf10,,,,,,,,,
3' UTR,3-UTR,3 UTR,3'UTR,3'-UTR,,,,,
